Name,Tier,Serial,,
Darrell Henderson Jr.,Rare,91,,
Darren Waller,Legendary,2,,
Darren Waller,Elite,25,,
Darren Waller,Elite,23,,
Darren Waller,Elite,22,,
Darren Waller,Core,366,,
Darrynton Evans,Rare,21,,
Davante Adams,Elite,8,,
Davante Adams,Elite,10,,
Davante Adams,Legendary,4,,
Davante Adams,Rare,68,,
David Montgomery,Elite,8,,
David Montgomery,Core,245,,
David Montgomery,Rare,71,,
David Montgomery,Legendary,5,,
David Njoku,Core,35,,
David Njoku,Legendary,10,,
David Njoku,Core,492,,
Davis Mills,Rare,114,,
Davis Mills,Rare,42,,
Davis Mills,Rare,107,,
Davis Mills,Rare,15,,
Davis Mills,Core,512,,
Davis Mills,Core,151,,
Dawson Knox,Elite,24,,
Dee Eskridge,Core,132,,
Deebo Samuel,Legendary,8,,
Deebo Samuel,Core,516,,
Deebo Samuel,Core,163,,
Deebo Samuel,Core,38,,
DeeJay Dallas,Elite,6,,
Deion Jones,Elite,8,,
Deion Jones,Elite,9,,
Deion Jones,Core,187,,
Demario Davis,Core,197,,
Demario Davis,Core,165,,
Denzel Perryman,Core,4,,
Denzel War,Elite,10,,
Denzel Ward,Core,118,,
Derek Carr,Reignmaker,1,,
Derek Carr,Core,547,,
Derek Carr,Core,337,,
Derek Carr,Legendary,4,,
Derek Carr,Legendary,7,,
D'Ernest Johnson,Rare,24,,
D'Ernest Johnson,Rare,30,,
Derrick Brown,Rare,7,,
Derrick Brown,Core,194,,
Derrick Brown,Core,4,,
Derrick Gore,Core,82,,
Derrick Henry,Reignmaker,1,,
Derrick Henry,Legendary,6,,
Derrick Henry,Rare,80,,
Derrick Henry,Rare,83,,
Derwin James Jr.,Core,107,,
Derwin James Jr.,Core,69,,
Deshaun Watson,Core,67,,
Deshaun Watson,Core,236,,
Deshaun Watson,Core,587,,
DeVante Parker,Core,492,,
DeVante Parker,Core,436,,
Devin Duvernay,Rare,73,,
Devin Duvernay,Core,258,,
Devin McCourty,Core,61,,
Devin McCourty,Core,41,,
Devin Singletary,Legendary,8,,
Devin Singletary,Core,81,,
Devin Singletary,Elite,23,,
DeVonta Smith,Rare,15,,
DeVonta Smith,Rare,3,,
DeVonta Smith,Legendary,2,,
Dez Fitzpartrick,Rare,26,,
Dez Fitzpartrick,Elite,4,,
Diontae Johnson,Rare,89,,
Diontae Johnson,Reignmaker,1,,
Diontae Johnson,Core,503,,
Diontae Johnson,Legendary,8,,
Diontae Johnson,Elite,15,,
Diontae Johnson,Core,391,,
DJ Chark Jr.,Core,284,,
DJ Chark Jr.,Rare,10,,
DJ Chark Jr.,Rare,89,,
DJ Moore,Legendary,2,,
DJ Moore,Core,343,,
DJ Moore,Core,138,,
DJ Moore,Rare,100,,
DJ Moore,Elite,17,,
DK Metcalf,Elite,3,,
Donovan Peoples-Jones,Rare,117,,
Donovan Peoples-Jones,Core,134,,
Donovan Peoples-Jones,Core,501,,
Donovan Peoples-Jones,Core,329,,
D'Onta Foreman,Core,154,,
Donte Jackson,Rare,27,,
Donte Jackson,Rare,12,,
Donte Jackson,Elite,6,,
Dontrell Hilliard,Core,145,,
Drew Sample,Core,200,,
Duke Johnson,Rare,54,,
Duke Johnson,Elite,8,,
Dustin Hopkins,Core,483,,
Dustin Hopkins,Core,4,,
Dustin Hopkins,Elite,26,,
Dyami Brown,Core,14,,
Dyami Brown,Core,110,,
Eddie Jackson,Core,80,,
Eli Mitchell,Reignmaker,1,,
Elijah Moore,Core,15,,
Elijah Moore,Rare,94,,
Elijah Moore,Elite,16,,
Eno Benjamin,Rare,4,,
Eno Benjamin,Core,122,,
Equanimeous St. Brown,Rare,62,,
Equanimeous St. Brown,Core,166,,
Equanimeous St. Brown,Rare,53,,
Equanimeous St. Brown,Core,301,,
Equanimeous St. Brown,Rare,58,,
Eric Tomlinson,Elite,3,,
Eric Tomlinson,Core,190,,
Evan Engram,Rare,89,,
Evan Engram,Elite,18,,
Evan Engram,Core,371,,
Evan McPherson,Core,26,,
Evan McPherson,Core,600,,
Evan McPherson,Rare,92,,
Ezekiel Elliott,Core,345,,
Foster Moreau,Core,95,,
Frank Clark,Core,147,,
Freddie Swain,Rare,14,,
Gabriel Davis,Rare,27,,
Gabriel Davis,Reignmaker,1,,
Gabriel Davis,Core,197,,
Gabriel Davis,Core,16699,,
Gabriel Davis,Rare,53,,
Gardner Minshew II,Rare,38,,
Geoff Swaim,Elite,8,,
George Kittle,Reignmaker,1,,
George Kittle,Legendary,8,,
Gerald Everett,Legendary,2,,
Gerald Everett,Core,347,,
Giovani Bernard,Core,513,,
Giovani Bernard,Elite,2,,
Giovani Bernard,Rare,55,,
Giovani Bernard,Core,7,,
Grady Jarrett,Core,63,,
Graham Gano,Core,419,,
Graham Gano,Core,253,,
Graham Gano,Elite,18,,
Graham Gano,Rare,114,,
Greg Joseph,Core,376,,
Greg Joseph,Core,494,,
Greg Joseph,Rare,35,,
Greg Ward Jr.,Rare,37,,
Greg Zuerlein,Rare,50,,
Greg Zuerlein,Rare,79,,
Greg Zuerlein,Core,430,,
Gus Edwards,Rare,97,,
Harrison Butker,Elite,24,,
Harrison Butker,Core,385,,
Harrison Butker,Elite,6,,
Harrison Butker,Rare,18,,
Harrison Butker,Elite,23,,
Harrison Butker,Rare,67,,
Harrison Butker,Legendary,6,,
Harrison Butker,Elite,5,,
Harrison Smith,Rare,32,,
Harrison Smith,Rare,26,,
Hayden Hurst,Rare,64,,
Hayden Hurst,Core,214,,
Hayden Hurst,Core,557,,
Hayden Hurst,Rare,3,,
Hayden Hurst,Core,172,,
